VariableName,sceneName_cn,sceneName,sceneName_vn,sceneName_en,sceneName_th,sceneName_in,sceneName_ph,sceneName_ma,sceneName_kr,_beizhu,monsters,boss,icon,gateType,sceneType,sceneCount,roundLimit,deployType,deployCardNumLimit,deployNum,deployNatureLimit,backMusic,backGround,bg_boss,bg_boss_pos,ownerId,onlyClassify,openLevel,preGateID,stars,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,dayChallengeMax,staminaCost,cardExp,roleExp,dropIds,gold,desc,desc_tw,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc_vn,desc_kr,sandangAward,worldLevelSaodangAward,forbidMarkID,winAward,star3Award,kssdFlag,chestAward,pos,awardPos,frontWay,monsterRange,finishPoint,isWheel,isQuickSweep,tag,unitID
61021,,Origin Forme Giratina,Giratina Hình thái Khởi nguyên,Origin Forme Giratina,กิราตินารูปแบบดั้งเดิม,Giratina Bentuk Origin,Porma ng Pinagmulan Giratina,Giratina Bentuk Origin,,,<{unitId=21021;level=100;advance=15};{unitId=21026;level=100;advance=15};{unitId=21025;level=100;advance=15};{unitId=21024;level=100;advance=15};{unitId=21023;level=100;advance=15}>,<{unitId=21022;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,61021,61021,1,0,,,{20391=0;22991=0;6381=0;6382=0;21811=0},,"Giratina travels between the Distortion World and the real world. Its Origin Form has powerful resurrection abilities, so be cautious when using it; if one world is destroyed, the other will be destroyed too!  ",,"Giratina travels between the Distortion World and the real world. Its Origin Form has powerful resurrection abilities, so be cautious when using it; if one world is destroyed, the other will be destroyed too!  ",กิราติน่าเดินทางระหว่างโลกที่ถูกทำลายกับโลกแห่งความเป็นจริง รูปแบบต้นกำเนิดมีพลังฟื้นคืนชีพอย่างมหาศาล โปรดระวังในการใช้งาน หากโลกหนึ่งถูกทำลาย อีกโลกก็จะพังตาม!  ,"Giratina berpindah antara Dunia yang Dihancurkan dan dunia nyata. Bentuk Origin memiliki kemampuan kebangkitan yang sangat kuat, jadi berhati-hatilah saat menggunakannya; jika satu dunia hancur, dunia lain juga akan hancur!  ","Si Giratina ay naglalakbay sa pagitan ng Wasak na Mundo at totoong mundo. Ang Origin Form nito ay may makapangyarihang kakayahan sa muling pagkabuhay, kaya mag-ingat sa paggamit; kapag nawasak ang isang mundo, masisira rin ang isa!  ","Giratina bergerak antara Dunia Musnah dan dunia sebenar. Bentuk Origin mempunyai keupayaan kebangkitan yang sangat kuat, jadi berhati-hatilah menggunakannya; jika satu dunia musnah, dunia yang lain juga akan musnah!  ","Giratina di chuyển giữa Thế giới bị hủy diệt và Thế giới thực. Origin Form sở hữu khả năng hồi sinh mạnh mẽ, vì vậy hãy cẩn thận khi sử dụng; nếu một thế giới bị phá hủy, thế giới kia cũng sẽ bị phá hủy!",,,,,,,,,,,,,,,,,
61022,,Origin Forme Giratina,Giratina Hình thái Khởi nguyên,Origin Forme Giratina,กิราตินารูปแบบดั้งเดิม,Giratina Bentuk Origin,Porma ng Pinagmulan Giratina,Giratina Bentuk Origin,,,<{unitId=21031;level=100;advance=15}>,<{unitId=21032;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,61022,61022,1,0,,,{20391=0;22991=0;6381=0;6382=0;21811=0},,The destroyed world is connected to the real world—kill at the same time.  ,,The destroyed world is connected to the real world—kill at the same time.  ,โลกที่ถูกทำลายเชื่อมโยงกับโลกแห่งความจริง—ฆ่าพร้อมกัน  ,Dunia yang hancur terhubung dengan dunia nyata—bunuh secara bersamaan.  ,Ang wasak na mundo ay konektado sa totoong mundo—patayin ng sabay.  ,Dunia musnah bersambung dengan dunia sebenar—bunuh serentak.  ,"Thế giới bị phá hủy được kết nối với thế giới thực, hãy giết cùng lúc",,,,,,,,,,,,,,,,,
61023,,Origin Forme Giratina,Giratina Hình thái Khởi nguyên,Origin Forme Giratina,กิราตินารูปแบบดั้งเดิม,Giratina Bentuk Origin,Porma ng Pinagmulan Giratina,Giratina Bentuk Origin,,,<{unitId=21041;level=100;advance=15};{unitId=21042;level=100;advance=15};{unitId=21041;level=100;advance=15};{unitId=21042;level=100;advance=15};{unitId=21041;level=100;advance=15}>,<{unitId=21042;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,61023,61023,1,0,,,{20391=0;22991=0;6381=0;6382=0;21811=0},,"In a reversed world, your special skills will gradually lose their power!  ",,"In a reversed world, your special skills will gradually lose their power!  ",ในโลกที่กลับด้าน พลังของทักษะพิเศษของคุณจะค่อย ๆ หายไป!  ,"Di dunia terbalik, kekuatan skill spesialmu akan perlahan menghilang!  ","Sa isang baligtad na mundo, unti-unting mawawala ang lakas ng iyong mga espesyal na kakayahan!  ","Dalam dunia terbalik, kuasa kemahiran istimewamu akan hilang secara perlahan!  ","Trong một thế giới đảo ngược, sức mạnh của các chiêu thức đặc biệt của bạn sẽ dần biến mất!",,,,,,,,,,,,,,,,,
61024,,Origin Forme Giratina,Giratina Hình thái Khởi nguyên,Origin Forme Giratina,กิราตินารูปแบบดั้งเดิม,Giratina Bentuk Origin,Porma ng Pinagmulan Giratina,Giratina Bentuk Origin,,,<{unitId=21051;level=100;advance=15};{unitId=21051;level=100;advance=15}>,<{unitId=21052;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,61024,61024,1,0,,,{20391=0;22991=0;6381=0;6382=0;21811=0},,Go to sleep if you feel dizzy; it will ease the pain and clear your mind!  ,,Go to sleep if you feel dizzy; it will ease the pain and clear your mind!  ,ไปนอนถ้าคุณรู้สึกเวียนหัว มันจะช่วยบรรเทาความเจ็บปวดและทำให้จิตใจปลอดโปร่ง!  ,Tidurlah jika kamu merasa pusing; itu akan meredakan rasa sakit dan menjernihkan pikiranmu!  ,Matulog ka kung nahihilo ka; makakatulong ito upang mawala ang sakit at luminaw ang iyong isipan!  ,Tidurlah jika kamu rasa pening; ia akan meredakan kesakitan dan menyegarkan fikiranmu!  ,"Hãy đi ngủ nếu bạn cảm thấy chóng mặt, điều đó sẽ xua tan cơn đau và giúp đầu óc minh mẫn hơn!",,,,,,,,,,,,,,,,,
62001,,Vengeful Doll,Búp Bê Oán Hận,Vengeful Doll,ตุ๊กตาแห่งความพยาบาท,Boneka Pendendam,Manika ng Paghihiganti,Anak Patung Pendendam,,,<{unitId=21001;level=90;advance=13};{unitId=21001;level=90;advance=13};{unitId=21002;level=90;advance=13};{unitId=21002;level=90;advance=13};{unitId=21002;level=90;advance=13}>,<{unitId=21001;level=90;advance=13}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62001,62001,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,The doll becomes stronger on Halloween night.  ,,The doll becomes stronger on Halloween night.  ,ตุ๊กตาจะทรงพลังมากขึ้นในคืนวันฮาโลวีน  ,Boneka menjadi lebih kuat di malam Halloween.  ,Lumalakas ang manika tuwing gabi ng Halloween.  ,Anak patung menjadi lebih kuat pada malam Halloween.  ,Con búp bê trở nên mạnh mẽ hơn vào đêm Halloween,,,,,,,,,,,,,,,,,
62002,,Vengeful Doll,Búp Bê Oán Hận,Vengeful Doll,ตุ๊กตาแห่งความพยาบาท,Boneka Pendendam,Manika ng Paghihiganti,Anak Patung Pendendam,,,<{unitId=21002;level=90;advance=13};{unitId=21001;level=90;advance=13}>,<{unitId=21002;level=90;advance=13}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62002,62002,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,The doll becomes stronger on Halloween night.  ,,The doll becomes stronger on Halloween night.  ,ตุ๊กตาจะทรงพลังมากขึ้นในคืนวันฮาโลวีน  ,Boneka menjadi lebih kuat di malam Halloween.  ,Lumalakas ang manika tuwing gabi ng Halloween.  ,Anak patung menjadi lebih kuat pada malam Halloween.  ,Con búp bê trở nên mạnh mẽ hơn vào đêm Halloween,,,,,,,,,,,,,,,,,
62003,,Vengeful Doll,Búp Bê Oán Hận,Vengeful Doll,ตุ๊กตาแห่งความพยาบาท,Boneka Pendendam,Manika ng Paghihiganti,Anak Patung Pendendam,,,<{unitId=21001;level=90;advance=13};{unitId=21002;level=90;advance=13}>,<{unitId=21001;level=90;advance=13}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62003,62003,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,The doll becomes stronger on Halloween night.  ,,The doll becomes stronger on Halloween night.  ,ตุ๊กตาจะทรงพลังมากขึ้นในคืนวันฮาโลวีน  ,Boneka menjadi lebih kuat di malam Halloween.  ,Lumalakas ang manika tuwing gabi ng Halloween.  ,Anak patung menjadi lebih kuat pada malam Halloween.  ,Con búp bê trở nên mạnh mẽ hơn vào đêm Halloween,,,,,,,,,,,,,,,,,
62004,,Vengeful Doll,Búp Bê Oán Hận,Vengeful Doll,ตุ๊กตาแห่งความพยาบาท,Boneka Pendendam,Manika ng Paghihiganti,Anak Patung Pendendam,,,<{unitId=21001;level=90;advance=13};{unitId=21002;level=90;advance=13};{unitId=21001;level=90;advance=13}>,<{unitId=21002;level=90;advance=13}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62004,62004,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,The doll becomes stronger on Halloween night.  ,,The doll becomes stronger on Halloween night.  ,ตุ๊กตาจะทรงพลังมากขึ้นในคืนวันฮาโลวีน  ,Boneka menjadi lebih kuat di malam Halloween.  ,Lumalakas ang manika tuwing gabi ng Halloween.  ,Anak patung menjadi lebih kuat pada malam Halloween.  ,Con búp bê trở nên mạnh mẽ hơn vào đêm Halloween,,,,,,,,,,,,,,,,,
62011,,Gengar,Gengar,Gengar,Gengar,Gengar,Gengar,Gengar,,,<{unitId=21011;level=95;advance=14};{unitId=21011;level=95;advance=14}>,<{unitId=21011;level=95;advance=14}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62011,62011,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,Kill Gengar to reveal the truth!  ,,Kill Gengar to reveal the truth!  ,ฆ่าเก็งการ์เพื่อเปิดเผยความจริง!  ,Bunuh Gengar untuk mengungkap kebenaran!  ,Patayin si Gengar upang ibunyag ang katotohanan!  ,Bunuh Gengar untuk dedahkan kebenaran!  ,Hãy giết Gengar nói ra sự thật!,,,,,,,,,,,,,,,,,
62012,,Gengar,Gengar,Gengar,Gengar,Gengar,Gengar,Gengar,,,<{unitId=21011;level=95;advance=14};{unitId=21011;level=95;advance=14}>,<{unitId=21011;level=95;advance=14}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62012,62012,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,"Kill Gengar, the one who speaks the truth!  ",,"Kill Gengar, the one who speaks the truth!  ",ฆ่าเก็งการ์ ผู้ที่พูดความจริง!  ,"Bunuh Gengar, si pengungkap kebenaran!  ","Patayin si Gengar, ang tagapagsabi ng katotohanan!  ","Bunuh Gengar, si penutur kebenaran!  ","Hãy giết Gengar, kẻ nói ra sự thật!",,,,,,,,,,,,,,,,,
62013,,Gengar,Gengar,Gengar,Gengar,Gengar,Gengar,Gengar,,,<{unitId=21011;level=95;advance=14};{unitId=21011;level=95;advance=14}>,<{unitId=21011;level=95;advance=14}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62013,62013,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,Kill Gengar to reveal the truth!  ,,Kill Gengar to reveal the truth!  ,ฆ่าเก็งการ์เพื่อเปิดเผยความจริง!  ,Bunuh Gengar untuk mengungkap kebenaran!  ,Patayin si Gengar upang ibunyag ang katotohanan!  ,Bunuh Gengar untuk dedahkan kebenaran!  ,Hãy giết Gengar nói ra sự thật!,,,,,,,,,,,,,,,,,
62014,,Mega Gengar,Siêu Gengar,Mega Gengar,Mega Gengar,Mega Gengar,Mega Gengar,Mega Gengar,,,<{unitId=21012;level=95;advance=14};{unitId=21012;level=95;advance=14};{unitId=21012;level=95;advance=14};{unitId=21012;level=95;advance=14};{unitId=21012;level=95;advance=14}>,<{unitId=21012;level=95;advance=14}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62014,62014,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,Don't disturb Geng Gui while it's sleeping.  ,,Don't disturb Geng Gui while it's sleeping.  ,อย่ารบกวนเก็งกุยขณะมันกำลังนอนหลับ  ,Jangan ganggu Geng Gui saat sedang tidur.  ,Huwag gambalain si Geng Gui habang natutulog.  ,Jangan ganggu Geng Gui semasa ia sedang tidur.  ,Đừng làm phiền Geng Gui đang ngủ,,,,,,,,,,,,,,,,,
62021,,Origin Forme Giratina,Giratina Hình thái Khởi nguyên,Origin Forme Giratina,กิราตินารูปแบบดั้งเดิม,Giratina Bentuk Origin,Porma ng Pinagmulan Giratina,Giratina Bentuk Origin,,,<{unitId=21021;level=100;advance=15};{unitId=21026;level=100;advance=15};{unitId=21025;level=100;advance=15};{unitId=21024;level=100;advance=15};{unitId=21023;level=100;advance=15}>,<{unitId=21022;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62021,62021,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,"Giratina moves between the Distortion World and the Real World. Its Origin Form possesses powerful resurrection abilities, so be cautious when using it; if one world is destroyed, the other will be destroyed too!  ",,"Giratina moves between the Distortion World and the Real World. Its Origin Form possesses powerful resurrection abilities, so be cautious when using it; if one world is destroyed, the other will be destroyed too!  ",กิราติน่าเดินทางระหว่างโลกที่ถูกทำลายและโลกแห่งความจริง รูปแบบต้นกำเนิดมีความสามารถฟื้นคืนชีพอันทรงพลัง ดังนั้นควรใช้อย่างระมัดระวัง; หากโลกหนึ่งพัง อีกโลกก็จะพังตาม!  ,"Giratina berpindah antara Dunia yang Dihancurkan dan Dunia Nyata. Bentuk Origin-nya memiliki kemampuan kebangkitan yang sangat kuat, jadi berhati-hatilah saat menggunakannya; jika satu dunia hancur, dunia lain juga akan hancur!  ","Si Giratina ay gumagalaw sa pagitan ng Wasak na Mundo at ng Tunay na Mundo. Ang Origin Form nito ay may makapangyarihang kakayahang muling mabuhay, kaya’t mag-ingat sa paggamit; kung masira ang isang mundo, masisira rin ang isa pa!  ","Giratina bergerak antara Dunia Musnah dan Dunia Nyata. Bentuk Asalannya memiliki kuasa kebangkitan yang kuat, jadi berhati-hatilah ketika menggunakannya; jika satu dunia musnah, dunia yang lain juga akan musnah!  ","Giratina di chuyển giữa Thế giới bị hủy diệt và Thế giới thực. Origin Form sở hữu khả năng hồi sinh mạnh mẽ, vì vậy hãy cẩn thận khi sử dụng; nếu một thế giới bị phá hủy, thế giới kia cũng sẽ bị phá hủy!",,,,,,,,,,,,,,,,,
62022,,Origin Forme Giratina,Giratina Hình thái Khởi nguyên,Origin Forme Giratina,กิราตินารูปแบบดั้งเดิม,Giratina Bentuk Origin,Porma ng Pinagmulan Giratina,Giratina Bentuk Origin,,,<{unitId=21031;level=100;advance=15}>,<{unitId=21032;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62022,62022,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,The destroyed world is connected to the real world—kill simultaneously.  ,,The destroyed world is connected to the real world—kill simultaneously.  ,โลกที่ถูกทำลายเชื่อมต่อกับโลกแห่งความจริง—ฆ่าพร้อมกัน  ,Dunia yang hancur terhubung ke dunia nyata—bunuh secara bersamaan  ,Ang wasak na mundo ay konektado sa totoong mundo—patayin ng sabay.  ,Dunia yang musnah terhubung dengan dunia nyata—bunuh secara serentak  ,"Thế giới bị phá hủy được kết nối với thế giới thực, hãy giết cùng lúc",,,,,,,,,,,,,,,,,
62023,,Origin Forme Giratina,Giratina Hình thái Khởi nguyên,Origin Forme Giratina,กิราตินารูปแบบดั้งเดิม,Giratina Bentuk Origin,Porma ng Pinagmulan Giratina,Giratina Bentuk Origin,,,<{unitId=21041;level=100;advance=15};{unitId=21042;level=100;advance=15};{unitId=21041;level=100;advance=15};{unitId=21042;level=100;advance=15};{unitId=21041;level=100;advance=15}>,<{unitId=21042;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62023,62023,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,"In a reversed world, the power of your special moves will gradually fade!  ",,"In a reversed world, the power of your special moves will gradually fade!  ",ในโลกที่กลับด้าน พลังของท่าพิเศษของคุณจะค่อย ๆ หายไป!  ,"Di dunia terbalik, kekuatan jurus spesialmu perlahan akan menghilang!  ","Sa isang baligtad na mundo, unti-unting mawawala ang lakas ng iyong mga espesyal na galaw!  ","Dalam dunia terbalik, kuasa serangan khas anda akan perlahan-lahan hilang!  ","Trong một thế giới đảo ngược, sức mạnh của các chiêu thức đặc biệt của bạn sẽ dần biến mất!",,,,,,,,,,,,,,,,,
62024,,Origin Forme Giratina,Giratina Hình thái Khởi nguyên,Origin Forme Giratina,กิราตินารูปแบบดั้งเดิม,Giratina Bentuk Origin,Porma ng Pinagmulan Giratina,Giratina Bentuk Origin,,,<{unitId=21051;level=100;advance=15};{unitId=21051;level=100;advance=15}>,<{unitId=21052;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62024,62024,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,Go to sleep if you feel dizzy—it will ease the pain and help clear your mind!  ,,Go to sleep if you feel dizzy—it will ease the pain and help clear your mind!  ,ไปนอนหากคุณรู้สึกเวียนหัว—มันจะช่วยบรรเทาความเจ็บปวดและทำให้จิตใจปลอดโปร่ง!  ,Tidurlah jika kamu merasa pusing—itu akan meredakan rasa sakit dan menjernihkan pikiran!  ,Matulog ka kung nahihilo ka—makakatulong ito para maibsan ang sakit at luminaw ang isipan mo!  ,Tidurlah jika anda berasa pening—ia akan meredakan kesakitan dan menjernihkan fikiran!  ,"Hãy đi ngủ nếu bạn cảm thấy chóng mặt, điều đó sẽ xua tan cơn đau và giúp đầu óc minh mẫn hơn!",,,,,,,,,,,,,,,,,
62031,,Nightmare Demon,Mộng Yêu Ma,Nightmare Demon,ปีศาจแห่งฝันร้าย,Iblis Mimpi Buruk,Demonyong Bangungot,Iblis Mimpi Ngeri,,,<{unitId=22012;level=100;advance=15};{unitId=22012;level=100;advance=15};{unitId=22012;level=100;advance=15};{unitId=22012;level=100;advance=15};{unitId=22012;level=100;advance=15}>,<{unitId=22011;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62031,62031,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,The nightmare is coming! The dream demon is ready to strike!  ,,The nightmare is coming! The dream demon is ready to strike!  ,ฝันร้ายกำลังมา! ปีศาจแห่งความฝันพร้อมโจมตีแล้ว!  ,Mimpi buruk datang! Iblis mimpi siap menyerang!  ,Dumarating na ang bangungot! Handa nang umatake ang demonyo sa panaginip!  ,Mimpi ngeri sedang datang! Iblis mimpi bersedia untuk menyerang!  ,Cơn ác mộng đang đến! Con quỷ trong mơ đã sẵn sàng tấn công!,,,,,,,,,,,,,,,,,
62032,,Nightmare Demon,Mộng Yêu Ma,Nightmare Demon,ปีศาจแห่งฝันร้าย,Iblis Mimpi Buruk,Demonyong Bangungot,Iblis Mimpi Ngeri,,,<{unitId=22014;level=100;advance=15};{unitId=22013;level=100;advance=15};{unitId=22014;level=100;advance=15};{unitId=22013;level=100;advance=15};{unitId=22013;level=100;advance=15}>,<{unitId=22014;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62032,62032,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,The dream monster is quite sluggish and may attack allies in confusion when its HP is low.  ,,The dream monster is quite sluggish and may attack allies in confusion when its HP is low.  ,สัตว์ประหลาดในฝันเชื่องช้าและอาจโจมตีเพื่อนร่วมทีมด้วยความสับสนเมื่อเลือดต่ำ  ,Monster mimpi cukup lamban dan bisa menyerang sekutunya dalam kebingungan saat HP-nya rendah  ,Mabagal ang halimaw sa panaginip at maaaring umatake sa mga kakampi kapag mababa na ang HP nito  ,Raksasa dalam mimpi agak perlahan dan mungkin akan menyerang rakan sendiri dalam keadaan keliru apabila HP rendah  ,Quái vật trong mơ có bản chất khá chậm chạp và sẽ tấn công đồng đội trong lúc bối rối khi lượng máu của nó còn thấp.,,,,,,,,,,,,,,,,,
62033,,Nightmare Demon,Mộng Yêu Ma,Nightmare Demon,ปีศาจแห่งฝันร้าย,Iblis Mimpi Buruk,Demonyong Bangungot,Iblis Mimpi Ngeri,,,<{unitId=22014;level=100;advance=15};{unitId=22014;level=100;advance=15};{unitId=22014;level=100;advance=15};{unitId=22014;level=100;advance=15};{unitId=22014;level=100;advance=15}>,<{unitId=22015;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62033,62033,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,"The night is my cloak, and my red eyes make me shine!  ",,"The night is my cloak, and my red eyes make me shine!  ",กลางคืนคือตัวพรางของฉัน และดวงตาสีแดงทำให้ฉันเปล่งประกาย!  ,"Malam adalah jubahku, dan mata merahku membuatku bersinar!  ","Ang gabi ay aking balabal, at ang aking pulang mata ang aking liwanag!  ","Malam adalah selubungku, dan mata merahku menjadikan aku bersinar!  ","Đêm là tấm màn che của tôi, và đôi mắt đỏ làm tôi tỏa sáng!",,,,,,,,,,,,,,,,,
62034,,Nightmare Demon,Mộng Yêu Ma,Nightmare Demon,ปีศาจแห่งฝันร้าย,Iblis Mimpi Buruk,Demonyong Bangungot,Iblis Mimpi Ngeri,,,<{unitId=22017;level=100;advance=15};{unitId=22016;level=100;advance=15};{unitId=22017;level=100;advance=15};{unitId=22017;level=100;advance=15};{unitId=22017;level=100;advance=15}>,<{unitId=22017;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62034,62034,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,The dream demon is extremely aggressive in the dark and becomes enraged if affected by active skills during a major round.  ,,The dream demon is extremely aggressive in the dark and becomes enraged if affected by active skills during a major round.  ,ปีศาจในฝันดุร้ายมากในความมืด และจะโกรธจัดหากถูกทักษะเชิงรุกโจมตีในรอบใหญ่  ,Iblis mimpi sangat ganas di kegelapan dan menjadi buas jika terkena skill aktif dalam ronde besar  ,Ang demonyo sa panaginip ay sobrang mabangis sa dilim at magwawala kapag tinamaan ng aktibong kasanayan sa isang malaking round  ,Iblis dalam mimpi sangat ganas dalam kegelapan dan akan mengamuk jika terkena kemahiran aktif dalam pusingan besar  ,Quỷ trong mơ cực kỳ hung dữ trong bóng tối và sẽ trở nên hung dữ nếu bị ảnh hưởng bởi các kỹ năng chủ động trong một vòng đấu lớn.,,,,,,,,,,,,,,,,,
62041,,Hoopa Unbound,Hoopa Giải Xiềng,Hoopa Unbound,Hoopa แบบปลดปล่อย,Hoopa Tidak Terikat,Hoopa Walang Gapós,Hoopa Bebas,,,<{unitId=223641;level=95;advance=14};{unitId=223641;level=95;advance=14};{unitId=223641;level=95;advance=14};{unitId=223641;level=95;advance=14};{unitId=223641;level=95;advance=14}>,<{unitId=22005;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62041,62041,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,"Little Hoopa loves playing with everyone—the more, the merrier!  ",,"Little Hoopa loves playing with everyone—the more, the merrier!  ",ฮูปาน้อยชอบเล่นกับทุกคน ยิ่งมากยิ่งดี!  ,Hoopa kecil suka bermain dengan semua orang—semakin banyak semakin seru!  ,"Mahilig si munting Hoopa na makipaglaro sa lahat—mas marami, mas masaya!  ","Hoopa kecil suka bermain dengan semua orang—lagi ramai, lagi seronok!  ","Hupa bé nhỏ thích chơi với mọi người nhất, càng nhiều người càng tốt!",,,,,,,,,,,,,,,,,
62042,,Hoopa Unbound,Hoopa Giải Xiềng,Hoopa Unbound,Hoopa แบบปลดปล่อย,Hoopa Tidak Terikat,Hoopa Walang Gapós,Hoopa Bebas,,,<{unitId=223641;level=95;advance=14};{unitId=223641;level=95;advance=14};{unitId=223641;level=95;advance=14};{unitId=223641;level=95;advance=14};{unitId=223641;level=95;advance=14}>,<{unitId=223641;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62042,62042,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,Happy Halloween to everyone!  ,,Happy Halloween to everyone!  ,สุขสันต์วันฮาโลวีน!  ,Selamat Halloween semuanya!  ,Maligayang Halloween sa lahat!  ,Selamat Hari Halloween semua!  ,Chúc mọi người lễ Halloween vui vẻ!,,,,,,,,,,,,,,,,,
62043,,Hoopa Unbound,Hoopa Giải Xiềng,Hoopa Unbound,Hoopa แบบปลดปล่อย,Hoopa Tidak Terikat,Hoopa Walang Gapós,Hoopa Bebas,,,<{unitId=22006;level=95;advance=14};{unitId=22006;level=95;advance=14}>,<{unitId=22007;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62043,62043,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,"We agreed to fight one round and rest one round, so please don’t break the rules.  ",,"We agreed to fight one round and rest one round, so please don’t break the rules.  ",เราได้ตกลงว่าจะต่อสู้หนึ่งรอบ พักหนึ่งรอบ ดังนั้นโปรดอย่าฝ่าฝืนกฎ  ,"Kita sudah sepakat bertarung satu ronde dan istirahat satu ronde, jadi tolong jangan langgar aturan  ","Nagkasundo tayong lumaban isang round at magpahinga sa isa, kaya huwag sirain ang kasunduan  ","Kita telah bersetuju untuk bertarung satu pusingan dan berehat satu pusingan, jadi jangan langgar peraturan  ","Chúng ta đã thống nhất chơi một hiệp và nghỉ một hiệp, vì vậy xin đừng phá vỡ quy tắc.",,,,,,,,,,,,,,,,,
62044,,Hoopa Unbound,Hoopa Giải Xiềng,Hoopa Unbound,Hoopa แบบปลดปล่อย,Hoopa Tidak Terikat,Hoopa Walang Gapós,Hoopa Bebas,,,<{unitId=22006;level=95;advance=14};{unitId=22006;level=95;advance=14}>,<{unitId=22003;level=100;advance=15}>,,22,22,1,,,,,,,,,,,,20,,,90,,,,62044,62044,1,0,,,{20971=0;22991=0;21811=0;6381=0;20391=0;6382=0},,"Wait until it gets tired, or until you believe you can defeat it.  ",,"Wait until it gets tired, or until you believe you can defeat it.  ",รอจนกว่ามันจะเหนื่อย หรือเมื่อคุณมั่นใจว่าคุณสามารถเอาชนะมันได้  ,Tunggu sampai dia lelah atau sampai kamu yakin bisa mengalahkannya  ,"Hintayin mong mapagod siya, o kapag tingin mong kaya mo na siyang talunin  ","Tunggu sehingga ia letih, atau apabila anda yakin boleh mengalahkannya  ",Đợi đến khi nó mệt hoặc đến khi bạn nghĩ rằng mình có thể đánh bại nó.,,,,,,,,,,,,,,,,,
70001,,World Boss,Boss Thế Giới,World Boss,Boss โลก,Boss Dunia,Boss ng Mundo,Boss Dunia,,,,,,15,11,1,,,,,,,battle/scene/battle_map_32.png,,,,,20,,,50,,,boss601,,,3,0,,,{850=0;851=0;901=0;902=0},,,,,,,,,,,,,,,,,,,,,,,,,,
70002,,World Boss,Boss Thế Giới,World Boss,Boss โลก,Boss Dunia,Boss ng Mundo,Boss Dunia,,,,,,15,11,1,,,,,,,battle/scene/battle_map_31.png,,,,,20,,,50,,,boss601,,,3,0,,,{850=0;851=0;901=0;902=0},,,,,,,,,,,,,,,,,,,,,,,,,,
