VariableName,name_cn,name_tw,name,name_vn,name_ma,name_en,name_in,name_th,name_ph,name_kr,desc_cn,desc_tw,desc,desc_vn,desc_ma,desc_en,desc_in,desc_th,desc_ph,desc_kr,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
137,,,Collect 30 heroes,Thu thập 30 anh hùng.,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#Increase Fighter-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Đấu Sĩ toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Pahlawan untuk semua jeneral#C0xD38D22#1%,#C0xFF5B545B#Increase Fighter-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Petarung untuk semua jenderal#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทนักสู้ให้กับแม่ทัพทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Fighter-type na pinsala para sa lahat ng heneral#C0xD38D22#1%,,2,30,7,,42,100,
140,,,Collect 30 heroes,Thu thập 30 anh hùng.,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All generals gain additional Poison-type damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Độc#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral mendapat kerosakan jenis Racun tambahan#C0xD38D22#1%,#C0xFF5B545B#All generals gain additional Poison-type damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal mendapat tambahan kerusakan tipe Racun#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดได้รับความเสียหายพิษเพิ่มเติม#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay tumatanggap ng karagdagang Poison-type na pinsala#C0xD38D22#1%,,2,30,8,,43,100,
144,,,Collect 30 heroes,Thu thập 30 anh hùng.,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#Increase Earth-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tăng thêm sát thương hệ Đất cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Tanah untuk semua wira#C0xD38D22#1%,#C0xFF5B545B#Increase Earth-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Tanah untuk semua pahlawan#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุดินให้กับฮีโร่ทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Earth-type na pinsala para sa lahat ng bayani#C0xD38D22#1%,,2,30,9,,44,100,
148,,,Collect 30 heroes,Thu thập 30 anh hùng.,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#Increase Flying-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Phi Hành cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Terbang untuk semua wira#C0xD38D22#1%,#C0xFF5B545B#Increase Flying-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Terbang untuk semua pahlawan#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุการบินให้กับฮีโร่ทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Flying-type na pinsala para sa lahat ng bayani#C0xD38D22#1%,,2,30,10,,45,100,
152,,,Collect 30 heroes,Thu thập 30 anh hùng,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All generals gain additional Psychic-type damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương thuộc tính Siêu Năng#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral mendapat kerosakan jenis Psikik tambahan#C0xD38D22#1%,#C0xFF5B545B#All generals gain additional Psychic-type damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal mendapat tambahan kerusakan tipe Psikis#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดได้รับความเสียหายพลังจิตเพิ่มขึ้น#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay tumatanggap ng karagdagang Psychic-type na pinsala#C0xD38D22#1%,,2,30,11,,46,100,
157,,,Collect 16 heroes,Thu thập 16 anh hùng.,Kumpul 16 wira,Collect 16 heroes,Kumpulkan 16 pahlawan,รวบรวมฮีโร่ 16 ตัว,Kolektahin ang 16 bayani,,,,#C0xFF5B545B#Increase Sword-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Kiếm thuật cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Seni Pedang untuk semua wira#C0xD38D22#1%,#C0xFF5B545B#Increase Sword-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Pedang untuk semua pahlawan#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทเพลงดาบให้กับฮีโร่ทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Sword-type na pinsala para sa lahat ng bayani#C0xD38D22#1%,,2,16,12,,47,100,
158,,,Collect 20 heroes,Thu thập 20 anh hùng.,Kumpul 20 wira,Collect 20 heroes,Kumpulkan 20 pahlawan,รวบรวมฮีโร่ 20 ตัว,Kolektahin ang 20 bayani,,,,#C0xFF5B545B#All Sword-type generals gain bonus damage#C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng hệ Kiếm Thuật được tăng sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Seni Pedang mendapat kerosakan tambahan#C0xD38D22#1%,#C0xFF5B545B#All Sword-type generals gain bonus damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Pedang mendapatkan kerusakan tambahan#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพสายเพลงดาบทั้งหมดได้รับความเสียหายเพิ่มขึ้น#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Sword-type na heneral ay tumatanggap ng dagdag na pinsala#C0xD38D22#1%,,2,20,12,,47,100,
159,,,Collect 25 heroes,Thu thập 25 anh hùng,Kumpul 25 wira,Collect 25 heroes,Kumpulkan 25 pahlawan,รวบรวมฮีโร่ 25 ตัว,Kolektahin ang 25 bayani,,,,#C0xFF5B545B#All Sword-type generals increase their damage#C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng hệ Kiếm thuật tăng sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Seni Pedang meningkatkan kerosakan#C0xD38D22#1%,#C0xFF5B545B#All Sword-type generals increase their damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Pedang meningkatkan kerusakan#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพสายเพลงดาบทั้งหมดเพิ่มความเสียหาย#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Sword-type na heneral ay nadadagdagan ang pinsala#C0xD38D22#1%,,2,25,12,,47,100,
160,,,Collect 30 heroes,Thu thập 30 anh hùng,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All Sword-type generals gain additional damage#C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng hệ Kiếm Thuật được tăng thêm sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Seni Pedang mendapat tambahan kerosakan#C0xD38D22#1%,#C0xFF5B545B#All Sword-type generals gain additional damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Pedang mendapatkan tambahan kerusakan#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพสายเพลงดาบทั้งหมดได้รับความเสียหายเพิ่มขึ้น#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Sword-type na heneral ay tumatanggap ng dagdag na pinsala#C0xD38D22#1%,,2,30,12,,47,100,
162,,,Collect 25 heroes,Thu thập 25 anh hùng.,Kumpul 25 wira,Collect 25 heroes,Kumpulkan 25 pahlawan,รวบรวมฮีโร่ 25 ตัว,Kolektahin ang 25 bayani,,,,#C0xFF5B545B#All generals gain additional Rock-type damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng được tăng thêm sát thương hệ Nham#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral mendapat kerosakan jenis Batu tambahan#C0xD38D22#1%,#C0xFF5B545B#All generals gain additional Rock-type damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal mendapat tambahan kerusakan tipe Batu#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดได้รับความเสียหายธาตุหินเพิ่มขึ้น#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay tumatanggap ng karagdagang Rock-type na pinsala#C0xD38D22#1%,,2,25,13,,48,100,
163,,,Collect 30 heroes,Thu thập 30 anh hùng,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All generals increase Lava-type damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng sát thương hệ Nham thạch#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral meningkatkan kerosakan jenis Lava#C0xD38D22#1%,#C0xFF5B545B#All generals increase Lava-type damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal meningkatkan kerusakan tipe Lava#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดเพิ่มความเสียหายธาตุลาวา#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay nadadagdagan ang Lava-type na pinsala#C0xD38D22#1%,,2,30,13,,48,100,
166,,,Collect 25 heroes,Thu thập 25 anh hùng,Kumpul 25 wira,Collect 25 heroes,Kumpulkan 25 pahlawan,รวบรวมฮีโร่ 25 ตัว,Kolektahin ang 25 bayani,,,,#C0xFF5B545B#Increase Undead-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ vong linh cho toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Mayat Hidup untuk semua jeneral#C0xD38D22#1%,#C0xFF5B545B#Increase Undead-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Mayat Hidup untuk semua jenderal#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุอันเดดให้กับแม่ทัพทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Undead-type na pinsala para sa lahat ng heneral#C0xD38D22#1%,,2,25,14,,49,100,
167,,,Collect 30 heroes,Thu thập 30 anh hùng,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#Increase Undead-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ vong linh cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Mayat Hidup untuk semua wira#C0xD38D22#1%,#C0xFF5B545B#Increase Undead-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Mayat Hidup untuk semua pahlawan#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุอันเดดให้กับฮีโร่ทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Undead-type na pinsala para sa lahat ng bayani#C0xD38D22#1%,,2,30,14,,49,100,
169,,,Collect 25 heroes,Thu thập 25 anh hùng.,Kumpul 25 wira,Collect 25 heroes,Kumpulkan 25 pahlawan,รวบรวมฮีโร่ 25 ตัว,Kolektahin ang 25 bayani,,,,#C0xFF5B545B#Increase Demon-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Ma Thần cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Dewa Iblis untuk semua wira#C0xD38D22#1%,#C0xFF5B545B#Increase Demon-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Dewa Iblis untuk semua pahlawan#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุมารให้กับฮีโร่ทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Demon-type na pinsala para sa lahat ng bayani#C0xD38D22#1%,,2,25,15,,50,100,
170,,,Collect 30 heroes,Thu thập 30 anh hùng.,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All Demon-type generals gain additional damage#C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng hệ Ma Thần được tăng thêm sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Dewa Iblis mendapat tambahan kerosakan#C0xD38D22#1%,#C0xFF5B545B#All Demon-type generals gain additional damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Dewa Iblis mendapatkan kerusakan tambahan#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพธาตุมารทั้งหมดได้รับความเสียหายเพิ่มขึ้น#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Demon-type na heneral ay tumatanggap ng dagdag na pinsala#C0xD38D22#1%,,2,30,15,,50,100,
173,,,Collect 20 heroes,Thu thập 20 anh hùng.,Kumpul 20 wira,Collect 20 heroes,Kumpulkan 20 pahlawan,รวบรวมฮีโร่ 20 ตัว,Kolektahin ang 20 bayani,,,,#C0xFF5B545B#Increase Dark damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương bóng tối cho toàn bộ anh hùng thêm #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan Kegelapan untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase Dark damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Gelap untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายความมืดให้ฮีโร่ทั้งหมดอีก #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Dark-type na pinsala para sa lahat ng bayani ng #C0xD38D22#1%,,2,20,16,,51,100,
174,,,Collect 25 heroes,Thu thập 25 anh hùng.,Kumpul 25 wira,Collect 25 heroes,Kumpulkan 25 pahlawan,รวบรวมฮีโร่ 25 ตัว,Kolektahin ang 25 bayani,,,,#C0xFF5B545B#Increase Dark damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương bóng tối cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan Kegelapan untuk semua wira#C0xD38D22#1%,#C0xFF5B545B#Increase Dark damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Gelap untuk semua pahlawan#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายความมืดให้กับฮีโร่ทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Dark-type na pinsala para sa lahat ng bayani#C0xD38D22#1%,,2,25,16,,51,100,
175,,,Collect 30 heroes,Thu thập 30 anh hùng,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#Increase Dark damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương bóng tối cho toàn bộ anh hùng thêm #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan Kegelapan untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase Dark damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Gelap untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายความมืดให้ฮีโร่ทั้งหมดอีก #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Dark-type na pinsala para sa lahat ng bayani ng #C0xD38D22#1%,,2,30,16,,51,100,
177,,,Collect 25 heroes,Thu thập 25 anh hùng.,Kumpul 25 wira,Collect 25 heroes,Kumpulkan 25 pahlawan,รวบรวมฮีโร่ 25 ตัว,Kolektahin ang 25 bayani,,,,#C0xFF5B545B#All Mecha-type generals increase damage#C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng thuộc hệ Cơ Giới tăng thêm sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Mekanik meningkatkan kerosakan#C0xD38D22#1%,#C0xFF5B545B#All Mecha-type generals increase damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Mesin meningkatkan kerusakan#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพธาตุเครื่องจักรทั้งหมดเพิ่มความเสียหาย#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Mecha-type na heneral ay nadadagdagan ang pinsala#C0xD38D22#1%,,2,25,17,,52,100,
178,,,Collect 30 heroes,Thu thập 30 anh hùng.,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All Mecha-type generals increase damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng hệ Cơ Giới tăng sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Mekanik meningkatkan kerosakan#C0xD38D22#1%,#C0xFF5B545B#All Mecha-type generals increase damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Mesin meningkatkan kerusakan#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพธาตุเครื่องจักรทั้งหมดเพิ่มความเสียหาย#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Mecha-type na heneral ay nadadagdagan ang pinsala#C0xD38D22#1%,,2,30,17,,52,100,
181,,,Collect 18 heroes,Thu thập 18 anh hùng.,Kumpul 18 wira,Collect 18 heroes,Kumpulkan 18 pahlawan,รวบรวมฮีโร่ 18 ตัว,Kolektahin ang 18 bayani,,,,#C0xFF5B545B#Increase Ninjutsu-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Nhẫn Thuật cho toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Ninjutsu untuk semua jeneral#C0xD38D22#1%,#C0xFF5B545B#Increase Ninjutsu-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Ninjutsu untuk semua jenderal#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุนินจุตสึให้กับแม่ทัพทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Ninjutsu-type na pinsala para sa lahat ng heneral#C0xD38D22#1%,,2,18,18,,53,100,
182,,,Collect 24 heroes,Thu thập 24 anh hùng.,Kumpul 24 wira,Collect 24 heroes,Kumpulkan 24 pahlawan,รวบรวมฮีโร่ 24 ตัว,Kolektahin ang 24 bayani,,,,#C0xFF5B545B#Increase Ninjutsu-type skill damage for all heroes by#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ nhẫn thuật của toàn bộ anh hùng thêm#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Ninjutsu untuk semua wira sebanyak#C0xD38D22#1%,#C0xFF5B545B#Increase Ninjutsu-type skill damage for all heroes by#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan keterampilan tipe Ninjutsu untuk semua pahlawan sebesar#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุนินจุตสึของฮีโร่ทั้งหมดอีก#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Ninjutsu-type na kasanayan na pinsala para sa lahat ng bayani ng#C0xD38D22#1%,,2,24,18,,53,100,
183,,,Collect 30 heroes,Thu thập 30 anh hùng,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All generals increase Ninjutsu-type damage#C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng tăng sát thương hệ Nhẫn Thuật#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral meningkatkan kerosakan jenis Ninjutsu#C0xD38D22#1%,#C0xFF5B545B#All generals increase Ninjutsu-type damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal meningkatkan kerusakan tipe Ninjutsu#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดเพิ่มความเสียหายธาตุนินจุตสึ#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay nadadagdagan ang Ninjutsu-type na pinsala#C0xD38D22#1%,,2,30,18,,53,100,
