VariableName,name_cn,name_th,name,name_vn,name_in,name_my,name_en,name_ph,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSkinScale,shiny,extraSkillList,shinyPos,cardSpine,cardSpineNeedStar,cardSpineScale,frontPriority,fakePassiveSkillList,cardSkinPos,cardSpinePos,shinyRes,showOpen,showOpenOffsetY,scaleY,ShowScale,cardIcon3,cardShowPosY,cardShowPos,cardShowRes,showRes
251192,,โอโรจิ  ,Orochi  ,Orochi,Orochi  ,Orochi  ,Orochi  ,Orochi  ,elitesmonster,4,11,16,,<99>,,,,263,,config/portrait/speedranktouxiang/img_263.png,config/portrait/jinglingtouxiang/img_263.png,config/portrait/jinglingtouxiang2/img_263.png,config/portrait/simple/img_263.png,config/big_hero/normal/img_263.png,,,dashe/dashe.json,,config/big_hero/normal/img_263.png,,,<59007;59008;59003;59012;2636>,<2631;2632;2633>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_dashe.skel,250,,,,,,,
251193,,คาคาชิ ฮาตาเกะ  ,Kakashi Hatake  ,Kakashi Hatake,Kakashi Hatake  ,Kakashi Hatake  ,Kakashi Hatake  ,Kakashi Hatake  ,elitesmonster,3,18,5,,<99>,,,,333,,config/portrait/speedranktouxiang/img_333.png,config/portrait/jinglingtouxiang/img_333.png,config/portrait/jinglingtouxiang2/img_333.png,config/portrait/simple/img_333.png,config/big_hero/normal/img_333.png,,,qimukakaxi/qimukakaxi.json,,config/big_hero/normal/img_333.png,,,<59007;59008;59003;59012;3336>,<3331;3332;3333>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_kakaxi.png,240,,,,,,,
251194,,คาคาชิ คามุอิ สกิน 1  ,Kamui Kakashi Skin 1  ,Kamui Kakashi Skin 1,Kamui Kakashi Kulit 1  ,Kamui Kakashi Skin 1  ,Kamui Kakashi Skin 1  ,Kamui Kakashi Skin 1  ,elitesmonster,4,16,15,,<99>,,,,393,,config/portrait/speedranktouxiang/img_393.png,config/portrait/jinglingtouxiang/img_393.png,config/portrait/jinglingtouxiang2/img_393.png,config/portrait/simple/img_393.png,config/big_hero/normal/img_393.png,,,hadisi/hadisi.json,,config/big_hero/normal/img_393.png,,,<59007;59008;59003;59012;3936>,<3931;3932;3933>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_hadisi.skel,240,,,,,,,
251195,,เท็คเคน  ,Tekken  ,Tekken,Tekken  ,Tekken  ,Tekken  ,Tekken  ,elitesmonster,3,,11,,<99>,,,,503,,config/portrait/speedranktouxiang/img_503.png,config/portrait/jinglingtouxiang/img_503.png,config/portrait/jinglingtouxiang2/img_503.png,config/portrait/simple/img_503.png,config/big_hero/normal/img_503.png,,,yiliya/yiliya.json,,config/big_hero/normal/img_503.png,,,<59007;59008;59003;59012;5036>,<5031;5032;5033>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_yiliya.png,240,,,,,,,
251196,,แฮร์รี่  ,Harry  ,Harry,Harry  ,Harry  ,Harry  ,Harry  ,elitesmonster,4,12,16,,<99>,,,,572,,config/portrait/speedranktouxiang/img_572.png,config/portrait/jinglingtouxiang/img_572.png,config/portrait/jinglingtouxiang2/img_572.png,config/portrait/simple/img_572.png,config/big_hero/normal/img_572.png,,,chitong/chitong.json,,config/big_hero/normal/img_572.png,,,<59007;59008;59003;59012;5726>,<5721;5722;5723>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_chitong.skel,240,,,,,,,
251197,,แกนดัล์ฟ  ,Gandalf  ,Gandalf,Gandalf  ,Gandalf  ,Gandalf  ,Gandalf  ,elitesmonster,3,5,14,,<99>,,,,593,,config/portrait/speedranktouxiang/img_593.png,config/portrait/jinglingtouxiang/img_593.png,config/portrait/jinglingtouxiang2/img_593.png,config/portrait/simple/img_593.png,config/big_hero/normal/img_593.png,,,mofashijiangshi/mofashijiangshi.json,,config/big_hero/normal/img_593.png,,,<59007;59008;59003;59012;5936>,<5931;5932;5933>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_gandaofu.png,240,,,,,,,
251198,,ลิน่า อินเวิร์ส  ,Lina Inverse  ,Lina Inverse,Lina Inverse  ,Lina Inverse  ,Lina Inverse  ,Lina Inverse  ,elitesmonster,3,2,11,,<99>,,,,603,,config/portrait/speedranktouxiang/img_603.png,config/portrait/jinglingtouxiang/img_603.png,config/portrait/jinglingtouxiang2/img_603.png,config/portrait/simple/img_603.png,config/big_hero/normal/img_603.png,,,linayinbasi/linayinbasi.json,,config/big_hero/normal/img_603.png,,,<59007;59008;59003;59012;6036>,<6031;6032;6033>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_lina.png,240,,,,,,,
251199,,มิกาสะ แอ็คเคอร์แมน  ,Mikasa Ackerman  ,Mikasa Ackerman,Mikasa Ackerman  ,Mikasa Ackerman  ,Mikasa Ackerman  ,Mikasa Ackerman  ,elitesmonster,3,12,10,,<99>,,,,611,,config/portrait/speedranktouxiang/img_611.png,config/portrait/jinglingtouxiang/img_611.png,config/portrait/jinglingtouxiang2/img_611.png,config/portrait/simple/img_611.png,config/big_hero/normal/img_611.png,,,sanliakeman/sanliakeman.json,,config/big_hero/normal/img_611.png,,,<59007;59008;59003;59012;6116>,<6111;6112;6113>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_sanli.png,240,,,,,,,
251200,,ทันจิโร่ คามาโดะ  ,Tanjiro Kamado  ,Tanjiro Kamado,Tanjiro Kamado  ,Tanjiro Kamado  ,Tanjiro Kamado  ,Tanjiro Kamado  ,elitesmonster,3,3,12,,<99>,,,,631,,config/portrait/speedranktouxiang/img_631.png,config/portrait/jinglingtouxiang/img_631.png,config/portrait/jinglingtouxiang2/img_631.png,config/portrait/simple/img_631.png,config/big_hero/normal/img_631.png,,,zaomentanzhilang/zaomentanzhilang.json,,config/big_hero/normal/img_631.png,,,<59007;59008;59003;59012;6326>,<6321;6322;6323>,,,,,,,1,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_zaomen.png,240,,,,,,,
251201,,เรม  ,Rem  ,Rem,Rem  ,Rem  ,Rem  ,Rem  ,elitesmonster,3,14,3,,<99>,,,,641,,config/portrait/speedranktouxiang/img_641.png,config/portrait/jinglingtouxiang/img_641.png,config/portrait/jinglingtouxiang2/img_641.png,config/portrait/simple/img_641.png,config/big_hero/normal/img_641.png,,,leimu/leimu.json,,config/big_hero/normal/img_641.png,,,<59007;59008;59003;59012;6416>,<6411;6412;6413>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_leimu.png,240,,,,,,,
251202,,ลีไว แอ็คเคอร์แมน  ,Levi Ackerman  ,Levi Ackerman,Levi Ackerman  ,Levi Ackerman  ,Levi Ackerman  ,Levi Ackerman  ,elitesmonster,4,12,10,,<99>,,,,701,,config/portrait/speedranktouxiang/img_701.png,config/portrait/jinglingtouxiang/img_701.png,config/portrait/jinglingtouxiang2/img_701.png,config/portrait/simple/img_701.png,config/big_hero/normal/img_701.png,,,bingzhang/bingzhang.json,,config/big_hero/normal/img_701.png,,,<59007;59008;59003;59012;7016>,<7011;7012;7013>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_bingzhang.skel,240,,,,,,,
251203,,เนียร์  ,Nier  ,Nier,Nier  ,Nier  ,Nier  ,Nier  ,elitesmonster,3,17,12,,<99>,,,,712,,config/portrait/speedranktouxiang/img_712.png,config/portrait/jinglingtouxiang/img_712.png,config/portrait/jinglingtouxiang2/img_712.png,config/portrait/simple/img_712.png,config/big_hero/normal/img_712.png,,,nier/nier.json,,config/big_hero/normal/img_712.png,,,<59007;59008;59003;59012;7126>,<7121;7122;7123>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_nier.png,240,,,,,,,
251204,,ริน โทซากะ  ,Rin Tohsaka  ,Rin Tohsaka,Rin Tohsaka  ,Rin Tohsaka  ,Rin Tohsaka  ,Rin Tohsaka  ,elitesmonster,4,6,11,,<99>,,,,721,,config/portrait/speedranktouxiang/img_721.png,config/portrait/jinglingtouxiang/img_721.png,config/portrait/jinglingtouxiang2/img_721.png,config/portrait/simple/img_721.png,config/big_hero/normal/img_721.png,,,yuanbanlin/yuanbanlin.json,,config/big_hero/normal/img_721.png,,,<59007;59008;59003;59012;7216>,<7211;7212;7213>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_yuanbanlin.skel,240,,,,,,,
251205,,มิโคโตะ มิซากะ  ,Mikoto Misaka  ,Mikoto Misaka,Mikoto Misaka  ,Mikoto Misaka  ,Mikoto Misaka  ,Mikoto Misaka  ,elitesmonster,3,5,11,,<99>,,,,731,,config/portrait/speedranktouxiang/img_731.png,config/portrait/jinglingtouxiang/img_731.png,config/portrait/jinglingtouxiang2/img_731.png,config/portrait/simple/img_731.png,config/big_hero/normal/img_731.png,,,yubanmeiqin/yubanmeiqin.json,,config/big_hero/normal/img_731.png,,,<59007;59008;59003;59012;7316>,<7311;7312;7313>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_meiqin.png,240,,,,,,,
251206,,อิกกิ  ,Ikki  ,Ikki,Ikki  ,Ikki  ,Ikki  ,Ikki  ,elitesmonster,3,10,2,,<99>,,,,741,,config/portrait/speedranktouxiang/img_741.png,config/portrait/jinglingtouxiang/img_741.png,config/portrait/jinglingtouxiang2/img_741.png,config/portrait/simple/img_741.png,config/big_hero/normal/img_741.png,,,yihui/yihui.json,,config/big_hero/normal/img_741.png,,,<59007;59008;59003;59012;7416>,<7411;7412;7413>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_yihui.png,240,,,,,,,
251207,,มาโดกะ  ,Madoka  ,Madoka,Madoka  ,Madoka  ,Madoka  ,Madoka  ,elitesmonster,4,11,15,,<99>,,,,771,,config/portrait/speedranktouxiang/img_771.png,config/portrait/jinglingtouxiang/img_771.png,config/portrait/jinglingtouxiang2/img_771.png,config/portrait/simple/img_771.png,config/big_hero/normal/img_771.png,,,xiaoyuan/xiaoyuan.json,,config/big_hero/normal/img_771.png,,,<59007;59008;59003;59012;7716>,<7711;7712;7713>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_xiaoyuan.skel,250,,,,,,,
251208,,อธีน่า  ,Athena  ,Athena,Athena  ,Athena  ,Athena  ,Athena  ,elitesmonster,3,,15,,<99>,,,,863,,config/portrait/speedranktouxiang/img_863.png,config/portrait/jinglingtouxiang/img_863.png,config/portrait/jinglingtouxiang2/img_863.png,config/portrait/simple/img_863.png,config/big_hero/normal/img_863.png,,,yadianna/yadianna.json,,config/big_hero/normal/img_863.png,,,<59007;59008;59003;59012;8636>,<8631;8632;8633>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_yadianna.png,240,,,,,,,
251209,,คิรัวร์ โซลดิ๊ก  ,Killua Zoldyck  ,Killua Zoldyck,Killua Zoldyck  ,Killua Zoldyck  ,Killua Zoldyck  ,Killua Zoldyck  ,elitesmonster,3,5,11,,<99>,,,,883,,config/portrait/speedranktouxiang/img_883.png,config/portrait/jinglingtouxiang/img_883.png,config/portrait/jinglingtouxiang2/img_883.png,config/portrait/simple/img_883.png,config/big_hero/normal/img_883.png,,,qiyazoudike/qiyazoudike.json,,config/big_hero/normal/img_883.png,,,<59007;59008;59003;59012;8836>,<8831;8832;8833>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_qiya.png,240,,,,,,,
251210,,คุรุมิ โทคิซากิ  ,Kurumi Tokisaki  ,Kurumi Tokisaki,Kurumi Tokisaki  ,Kurumi Tokisaki  ,Kurumi Tokisaki  ,Kurumi Tokisaki  ,elitesmonster,3,11,16,,<99>,,,,972,,config/portrait/speedranktouxiang/img_972.png,config/portrait/jinglingtouxiang/img_972.png,config/portrait/jinglingtouxiang2/img_972.png,config/portrait/simple/img_972.png,config/big_hero/normal/img_972.png,,,shiqikuangsan/shiqikuangsan.json,,config/big_hero/normal/img_972.png,,,<59007;59008;59003;59012;9726>,<9721;9722;9723>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_shiqikuangsan.png,240,,,,,,,
251211,,ชินซึเกะ ทาคาสึกิ  ,Shinsuke Takasugi  ,Shinsuke Takasugi,Shinsuke Takasugi  ,Shinsuke Takasugi  ,Shinsuke Takasugi  ,Shinsuke Takasugi  ,elitesmonster,3,12,7,,<99>,,,,1071,,config/portrait/speedranktouxiang/img_1071.png,config/portrait/jinglingtouxiang/img_1071.png,config/portrait/jinglingtouxiang2/img_1071.png,config/portrait/simple/img_1071.png,config/big_hero/normal/img_1071.png,,,gaoshanjinzhu/gaoshanjinzhu.json,,config/big_hero/normal/img_1071.png,,,<59007;59008;59003;59012;10716>,<10711;10712;10713>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_gaoshan.png,240,,,,,,,
251212,,ชิโระ อามาคุสะ  ,Shiro Amakusa  ,Shiro Amakusa,Shiro Amakusa  ,Shiro Amakusa  ,Shiro Amakusa  ,Shiro Amakusa  ,elitesmonster,3,8,16,,<99>,,,,1032,,config/portrait/speedranktouxiang/img_1032.png,config/portrait/jinglingtouxiang/img_1032.png,config/portrait/jinglingtouxiang2/img_1032.png,config/portrait/simple/img_1032.png,config/big_hero/normal/img_1032.png,,,tiancaosilangshizhen/tiancaosilangshizhen.json,,config/big_hero/normal/img_1032.png,,,<59007;59008;59003;59012;10326>,<10321;10322;10323>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_tiancao.png,240,,,,,,,
251213,,มากะ  ,Maka  ,Maka,Maka  ,Maka  ,Maka  ,Maka  ,elitesmonster,3,16,6,,<99>,,,,1082,,config/portrait/speedranktouxiang/img_1082.png,config/portrait/jinglingtouxiang/img_1082.png,config/portrait/jinglingtouxiang2/img_1082.png,config/portrait/simple/img_1082.png,config/big_hero/normal/img_1082.png,,,majia/majia.json,,config/big_hero/normal/img_1082.png,,,<59007;59008;59003;59012;10826>,<10821;10822;10823>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_majia.png,240,,,,,,,
251214,,อิจิโกะ คุโรซากิ  ,Ichigo Kurosaki  ,Ichigo Kurosaki,Ichigo Kurosaki  ,Ichigo Kurosaki  ,Ichigo Kurosaki  ,Ichigo Kurosaki  ,elitesmonster,4,12,15,,<99>,,,,1231,,config/portrait/speedranktouxiang/img_1231.png,config/portrait/jinglingtouxiang/img_1231.png,config/portrait/jinglingtouxiang2/img_1231.png,config/portrait/simple/img_1231.png,config/big_hero/normal/img_1231.png,,,heiqiyihu/heiqiyihu.json,,config/big_hero/normal/img_1231.png,,,<59007;59008;59003;59012;12316>,<12311;12312;12313>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_heiqiyihu.skel,260,,,,,,,
251215,,ฮัตสึเนะ มิกุ  ,Hatsune Miku  ,Hatsune Miku,Hatsune Miku  ,Hatsune Miku  ,Hatsune Miku  ,Hatsune Miku  ,elitesmonster,4,11,1,,<99>,,,,1241,,config/portrait/speedranktouxiang/img_1241.png,config/portrait/jinglingtouxiang/img_1241.png,config/portrait/jinglingtouxiang2/img_1241.png,config/portrait/simple/img_1241.png,config/big_hero/normal/img_1241.png,,,chuyinweilai/chuyinweilai.json,,config/big_hero/normal/img_1241.png,,,<59007;59008;59003;59012;12416>,<12411;12412;12413>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_chuyinweilai.skel,270,,,,,,,
251216,,เฮราคลีส  ,Heracles  ,Heracles,Heracles  ,Heracles  ,Heracles  ,Heracles  ,elitesmonster,3,15,14,,<99>,,,,1253,,config/portrait/speedranktouxiang/img_1253.png,config/portrait/jinglingtouxiang/img_1253.png,config/portrait/jinglingtouxiang2/img_1253.png,config/portrait/simple/img_1253.png,config/big_hero/normal/img_1253.png,,,helakelesi/helakelesi.json,,config/big_hero/normal/img_1253.png,,,<59007;59008;59003;59012;12536>,<12531;12532;12533>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_hela.png,240,,,,,,,
251217,,โยรุอิจิ ชิโฮอิน  ,Yoruichi Shihouin  ,Yoruichi Shihouin,Yoruichi Shihouin  ,Yoruichi Shihouin  ,Yoruichi Shihouin  ,Yoruichi Shihouin  ,elitesmonster,3,16,7,,<99>,,,,1293,,config/portrait/speedranktouxiang/img_1293.png,config/portrait/jinglingtouxiang/img_1293.png,config/portrait/jinglingtouxiang2/img_1293.png,config/portrait/simple/img_1293.png,config/big_hero/normal/img_1293.png,,,sifengyuanyeyi/sifengyuanyeyi.json,,config/big_hero/normal/img_1293.png,,,<59007;59008;59003;59012;12936>,<12931;12932;12933>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_yeyi.png,240,,,,,,,
251218,,โกอุกิ  ,Gouki  ,Gouki,Gouki  ,Gouki  ,Gouki  ,Gouki  ,elitesmonster,3,2,7,,<99>,,,,1303,,config/portrait/speedranktouxiang/img_1303.png,config/portrait/jinglingtouxiang/img_1303.png,config/portrait/jinglingtouxiang2/img_1303.png,config/portrait/simple/img_1303.png,config/big_hero/normal/img_1303.png,,,haogui/haogui.json,,config/big_hero/normal/img_1303.png,,,<59007;59008;59003;59012;13036>,<13031;13032;13033>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_haogui.png,240,,,,,,,
251219,,อาร์โทเรีย  ,Artoria  ,Artoria,Artoria  ,Artoria  ,Artoria  ,Artoria  ,elitesmonster,4,12,1,,<99>,,,,1313,,config/portrait/speedranktouxiang/img_1313.png,config/portrait/jinglingtouxiang/img_1313.png,config/portrait/jinglingtouxiang2/img_1313.png,config/portrait/simple/img_1313.png,config/big_hero/normal/img_1313.png,,,aertuoliya/aertuoliya.json,,config/big_hero/normal/img_1313.png,,,<59007;59008;59003;59012;13136>,<13131;13132;13133>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_saber.skel,250,,,,,,,
251220,,โฮมุระ อาเคมิ  ,Homura Akemi  ,Homura Akemi,Homura Akemi  ,Homura Akemi  ,Homura Akemi  ,Homura Akemi  ,elitesmonster,4,2,16,,<99>,,,,1393,,config/portrait/speedranktouxiang/img_1393.png,config/portrait/jinglingtouxiang/img_1393.png,config/portrait/jinglingtouxiang2/img_1393.png,config/portrait/simple/img_1393.png,config/big_hero/normal/img_1393.png,,,xiaomeiyan/xiaomeiyan.json,,config/big_hero/normal/img_1393.png,,,<59007;59008;59003;59012;13936>,<13931;13932;13933>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_xiaomeiyan.skel,260,,,,,,,
251221,,เออร์ซ่า  ,Erza  ,Erza,Erza  ,Erza  ,Erza  ,Erza,elitesmonster,3,9,12,,<99>,,,,1381,,config/portrait/speedranktouxiang/img_1381.png,config/portrait/jinglingtouxiang/img_1381.png,config/portrait/jinglingtouxiang2/img_1381.png,config/portrait/simple/img_1381.png,config/big_hero/normal/img_1381.png,,,ailusha/ailusha.json,,config/big_hero/normal/img_1381.png,,,<59007;59008;59003;59012;13946>,<13941;13942;13943>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_ailusha.png,240,,,,,,,
251222,,ไซตามะ  ,Saitama  ,Saitama,Saitama  ,Saitama  ,Saitama  ,Saitama,elitesmonster,4,7,9,,<99>,,,,1423,,config/portrait/speedranktouxiang/img_1423.png,config/portrait/jinglingtouxiang/img_1423.png,config/portrait/jinglingtouxiang2/img_1423.png,config/portrait/simple/img_1423.png,config/big_hero/normal/img_1423.png,,,qiyu/qiyu.json,,config/big_hero/normal/img_1423.png,,,<59007;59008;59003;59012;14236>,<14231;14232;14233>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_qiyv.skel,260,,,,,,,
251223,,เมเปิ้ล  ,Maple  ,Maple,Maple  ,Maple  ,Maple  ,Maple,elitesmonster,4,8,9,,<99>,,,,1503,,config/portrait/speedranktouxiang/img_1503.png,config/portrait/jinglingtouxiang/img_1503.png,config/portrait/jinglingtouxiang2/img_1503.png,config/portrait/simple/img_1503.png,config/big_hero/normal/img_1503.png,,,meipulu/meipulu.json,,config/big_hero/normal/img_1503.png,,,<59007;59008;59003;59012;15036>,<15031;15032;15033>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_meipulu.skel,260,,,,,,,
251224,,แบล็คร็อค ชูตเตอร์  ,Black Rock Shooter  ,Black Rock Shooter,Black Rock Shooter  ,Black Rock Shooter  ,Black Rock Shooter  ,Black Rock Shooter  ,elitesmonster,3,13,2,,<99>,,,,1612,,config/portrait/speedranktouxiang/img_1612.png,config/portrait/jinglingtouxiang/img_1612.png,config/portrait/jinglingtouxiang2/img_1612.png,config/portrait/simple/img_1612.png,config/big_hero/normal/img_1612.png,,,heiyansheshou/heiyansheshou.json,,config/big_hero/normal/img_1612.png,,,<59007;59008;59003;59012;16126>,<16121;16122;16123>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_heiyansheshou.png,240,,,,,,,
251225,,ฌาน  ,Jeanne  ,Jeanne,Jeanne  ,Jeanne  ,Jeanne  ,Jeanne  ,elitesmonster,3,,14,,<99>,,,,1772,,config/portrait/speedranktouxiang/img_1772.png,config/portrait/jinglingtouxiang/img_1772.png,config/portrait/jinglingtouxiang2/img_1772.png,config/portrait/simple/img_1772.png,config/big_hero/normal/img_1772.png,,,zhende/zhende.json,,config/big_hero/normal/img_1772.png,,,<59007;59008;59003;59012;17726>,<17721;17722;17723>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_zhende.png,240,,,,,,,
